GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier,cell_count_v3_Target,cell_count_v3_Effector,cell_count_v3_dead_Target,cell_count_v3_dead_Effector
1771,0.999999999999994,3790,3059,65,3725,2994,3855,3124,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1772,0.999999999999994,10419,3059,65,10354,2994,10484,3124,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1773,0.999999999999994,386,3060,65,321,2995,451,3125,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1774,0.999999999999994,2608,3060,65,2543,2995,2673,3125,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1775,0.999999999999994,10853,3060,65,10788,2995,10918,3125,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1776,0.999999999999994,5990,3064,65,5925,2999,6055,3129,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1777,0.999999999999994,6273,3064,65,6208,2999,6338,3129,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1778,0.999999999999994,11134,3065,65,11069,3000,11199,3130,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1779,0.999999999999994,2762,3066,65,2697,3001,2827,3131,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1780,0.999999999999994,2160,3067,65,2095,3002,2225,3132,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1781,0.999999999999994,5683,3067,65,5618,3002,5748,3132,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1782,0.999999999999994,7890,3068,65,7825,3003,7955,3133,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1783,0.999999999999994,10559,3070,65,10494,3005,10624,3135,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1784,0.999999999999994,2005,3071,65,1940,3006,2070,3136,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1785,0.999999999999994,8187,3072,65,8122,3007,8252,3137,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1786,0.999999999999994,6412,3074,65,6347,3009,6477,3139,130,130,0,1,HFE7500_THP1_300_170,False,0,0,2,0
1787,0.999999999999994,2456,3075,65,2391,3010,2521,3140,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1788,0.999999999999994,8030,3075,65,7965,3010,8095,3140,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1789,0.999999999999994,4216,3076,65,4151,3011,4281,3141,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1790,0.999999999999994,6555,3078,65,6490,3013,6620,3143,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1791,0.999999999999994,536,3081,65,471,3016,601,3146,130,130,0,1,HFE7500_THP1_300_170,False,2,0,1,0
1792,0.999999999999994,676,3082,65,611,3017,741,3147,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
