GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier
174,0.999999999999994,2929,515,65,2864,450,2994,580,130,130,0,1,HFE7500_K562_300_150_region15,False
175,0.999999999999994,7133,515,65,7068,450,7198,580,130,130,0,1,HFE7500_K562_300_150_region15,False
176,0.8111702127659542,2802,516,65,2737,451,2867,581,130,130,0,1,HFE7500_K562_300_150_region15,False
177,0.999999999999994,6991,518,65,6926,453,7056,583,130,130,0,1,HFE7500_K562_300_150_region15,False
178,0.999999999999994,7267,518,65,7202,453,7332,583,130,130,0,1,HFE7500_K562_300_150_region15,False
179,0.999999999999994,3462,521,65,3397,456,3527,586,130,130,0,1,HFE7500_K562_300_150_region15,False
180,0.999999999999994,3328,523,65,3263,458,3393,588,130,130,0,1,HFE7500_K562_300_150_region15,False
181,0.999999999999994,7398,523,65,7333,458,7463,588,130,130,0,1,HFE7500_K562_300_150_region15,False
182,0.999999999999994,7530,525,65,7465,460,7595,590,130,130,0,1,HFE7500_K562_300_150_region15,False
183,0.999999999999994,1126,526,65,1061,461,1191,591,130,130,0,1,HFE7500_K562_300_150_region15,False
184,0.999999999999994,975,528,65,910,463,1040,593,130,130,0,1,HFE7500_K562_300_150_region15,False
185,0.999999999999994,1397,533,65,1332,468,1462,598,130,130,0,1,HFE7500_K562_300_150_region15,False
186,0.999999999999994,1264,536,65,1199,471,1329,601,130,130,0,1,HFE7500_K562_300_150_region15,False
187,0.999999999999994,1528,552,65,1463,487,1593,617,130,130,0,1,HFE7500_K562_300_150_region15,False
188,0.999999999999994,1678,564,65,1613,499,1743,629,130,130,0,1,HFE7500_K562_300_150_region15,False
189,0.999999999999994,5143,582,65,5078,517,5208,647,130,130,0,1,HFE7500_K562_300_150_region15,False
190,0.999999999999994,5280,583,65,5215,518,5345,648,130,130,0,1,HFE7500_K562_300_150_region15,False
191,0.999999999999994,5552,586,65,5487,521,5617,651,130,130,0,1,HFE7500_K562_300_150_region15,False
192,0.999999999999994,5688,590,65,5623,525,5753,655,130,130,0,1,HFE7500_K562_300_150_region15,False
193,0.999999999999994,4736,594,65,4671,529,4801,659,130,130,0,1,HFE7500_K562_300_150_region15,False
194,0.999999999999994,4870,594,65,4805,529,4935,659,130,130,0,1,HFE7500_K562_300_150_region15,False
195,0.999999999999994,3646,599,65,3581,534,3711,664,130,130,0,1,HFE7500_K562_300_150_region15,False
196,0.999999999999994,5419,599,65,5354,534,5484,664,130,130,0,1,HFE7500_K562_300_150_region15,False
197,0.999999999999994,6007,600,65,5942,535,6072,665,130,130,0,1,HFE7500_K562_300_150_region15,False
198,0.999999999999994,2232,601,65,2167,536,2297,666,130,130,0,1,HFE7500_K562_300_150_region15,False
199,0.999999999999994,2079,602,65,2014,537,2144,667,130,130,0,1,HFE7500_K562_300_150_region15,False
200,0.999999999999994,3781,603,65,3716,538,3846,668,130,130,0,1,HFE7500_K562_300_150_region15,False
201,0.999999999999994,4591,603,65,4526,538,4656,668,130,130,0,1,HFE7500_K562_300_150_region15,False
202,0.999999999999994,5013,603,65,4948,538,5078,668,130,130,0,1,HFE7500_K562_300_150_region15,False
203,0.999999999999994,3922,604,65,3857,539,3987,669,130,130,0,1,HFE7500_K562_300_150_region15,False
204,0.999999999999994,4324,604,65,4259,539,4389,669,130,130,0,1,HFE7500_K562_300_150_region15,False
205,0.999999999999994,4458,604,65,4393,539,4523,669,130,130,0,1,HFE7500_K562_300_150_region15,False
206,0.999999999999994,4056,608,65,3991,543,4121,673,130,130,0,1,HFE7500_K562_300_150_region15,False
207,0.999999999999994,4190,609,65,4125,544,4255,674,130,130,0,1,HFE7500_K562_300_150_region15,False
208,0.999999999999994,2465,611,65,2400,546,2530,676,130,130,0,1,HFE7500_K562_300_150_region15,False
209,0.999999999999994,2598,617,65,2533,552,2663,682,130,130,0,1,HFE7500_K562_300_150_region15,False
210,0.999999999999994,2730,618,65,2665,553,2795,683,130,130,0,1,HFE7500_K562_300_150_region15,False
211,0.999999999999994,6266,619,65,6201,554,6331,684,130,130,0,1,HFE7500_K562_300_150_region15,False
212,0.999999999999994,6391,620,65,6326,555,6456,685,130,130,0,1,HFE7500_K562_300_150_region15,False
213,0.999999999999994,6137,621,65,6072,556,6202,686,130,130,0,1,HFE7500_K562_300_150_region15,False
214,0.999999999999994,6519,622,65,6454,557,6584,687,130,130,0,1,HFE7500_K562_300_150_region15,False
215,0.999999999999994,6650,625,65,6585,560,6715,690,130,130,0,1,HFE7500_K562_300_150_region15,False
216,0.999999999999994,6782,626,65,6717,561,6847,691,130,130,0,1,HFE7500_K562_300_150_region15,False
217,0.999999999999994,6913,626,65,6848,561,6978,691,130,130,0,1,HFE7500_K562_300_150_region15,False
